Compliance_ID,Assessment_Date,Framework,Control_ID,Control_Description,Status,Finding_Type,Business_Unit,Priority,Remediation_Due_Date,Auditor_Notes
COMP-2024-0084,2024-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,HR,High,,
COMP-2024-0085,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Operations,Critical,,
COMP-2024-0086,2024-03-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,IT,Critical,,
COMP-2024-0087,2024-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,Low,,
COMP-2024-0088,2024-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,HR,Low,,
COMP-2024-0089,2024-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,IT,Low,,
COMP-2024-0090,2024-09-15,NIST SP 800-53,AU-2,Audit events,Compliant,None,HR,High,,
COMP-2024-0091,2024-06-15,PCI DSS,10.2,Implement audit trails,Non-Compliant,None,HR,Critical,2024-08-28,Documentation missing for access reviews.
COMP-2024-0092,2024-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Other,Low,,
COMP-2024-0093,2024-06-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Other,Medium,,
COMP-2024-0094,2025-09-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,Security,High,,
COMP-2024-0095,2025-03-15,SOC 2 Type II,CC6.8,Malicious software controls,In Remediation,Gap,IT,Medium,2025-04-14,Encryption at rest not consistently applied.
COMP-2024-0096,2024-09-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,IT,Medium,,
COMP-2024-0097,2024-09-15,NIST SP 800-53,AU-2,Audit events,Non-Compliant,Gap,IT,Low,2024-11-15,Encryption at rest not consistently applied.
COMP-2024-0098,2025-06-15,ISO 27001,A.9.2,User access management,Compliant,None,HR,Low,,
COMP-2024-0099,2025-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Operations,Low,,
COMP-2024-0100,2025-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Finance,Medium,,
COMP-2024-0101,2024-06-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,High,,
COMP-2024-0102,2025-06-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,Security,High,,
COMP-2024-0103,2024-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,IT,Low,,
COMP-2024-0104,2024-06-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,HR,Low,,
COMP-2024-0105,2025-06-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,Finance,High,,
COMP-2024-0106,2024-03-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),In Remediation,Gap,Security,Medium,2024-06-11,Encryption at rest not consistently applied.
COMP-2024-0107,2025-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,IT,Low,,
COMP-2024-0108,2025-09-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Finance,Medium,,
COMP-2024-0109,2024-06-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,High,,
COMP-2024-0110,2025-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,IT,Medium,,
COMP-2024-0111,2024-03-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Non-Compliant,Gap,IT,Medium,2024-05-11,Logs not retained for required period.
COMP-2024-0112,2024-09-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,Finance,Medium,,
COMP-2024-0113,2025-03-15,PCI DSS,1.1.1,Firewall configuration standards,Compliant,None,Operations,Medium,,
COMP-2024-0114,2024-12-15,ISO 27001,A.12.4,Logging and monitoring,In Remediation,Gap,Operations,High,2025-02-15,Encryption at rest not consistently applied.
COMP-2024-0115,2024-09-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,Security,Medium,,
COMP-2024-0116,2024-09-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,IT,Medium,,
COMP-2024-0117,2024-09-15,ISO 27001,A.9.2,User access management,Compliant,None,Finance,High,,
COMP-2024-0118,2025-06-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,HR,Medium,,
COMP-2024-0119,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Finance,High,,
COMP-2024-0120,2024-12-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Finance,Medium,,
COMP-2024-0121,2024-12-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,IT,Critical,,
COMP-2024-0122,2025-06-15,ISO 27001,A.9.2,User access management,Compliant,None,Operations,High,,
COMP-2024-0123,2024-03-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,Low,,
COMP-2024-0124,2025-06-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Operations,Medium,,
COMP-2024-0125,2025-03-15,PCI DSS,1.1.1,Firewall configuration standards,Non-Compliant,Gap,IT,Low,2025-05-26,Encryption at rest not consistently applied.
COMP-2024-0126,2024-12-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,Low,,
COMP-2024-0127,2025-06-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Security,Medium,,
COMP-2024-0128,2025-09-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,Low,,
COMP-2024-0129,2025-03-15,PCI DSS,10.2,Implement audit trails,Compliant,None,IT,High,,
COMP-2024-0130,2025-09-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,IT,Medium,,
COMP-2024-0131,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Finance,Low,,
COMP-2024-0132,2024-09-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,IT,Medium,,
COMP-2024-0133,2024-06-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Operations,Medium,,
COMP-2024-0134,2025-09-15,ISO 27001,A.9.2,User access management,Compliant,None,Finance,Medium,,
COMP-2024-0135,2024-03-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Operations,Medium,,
COMP-2024-0136,2024-12-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Finance,Low,,
COMP-2024-0137,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,IT,Medium,,
COMP-2024-0138,2025-03-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",In Remediation,Gap,Finance,Medium,2025-05-30,Logs not retained for required period.
COMP-2024-0139,2025-09-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,IT,Medium,,
COMP-2024-0140,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Finance,Medium,,
COMP-2024-0141,2024-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Security,High,,
COMP-2024-0142,2024-06-15,SOC 2 Type II,CC6.8,Malicious software controls,Non-Compliant,None,Operations,Critical,2024-07-25,Encryption at rest not consistently applied.
COMP-2024-0143,2024-12-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Security,Medium,,
COMP-2024-0144,2025-06-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,IT,High,,
COMP-2024-0145,2025-06-15,PCI DSS,1.1.1,Firewall configuration standards,Compliant,None,Operations,Medium,,
COMP-2024-0146,2024-12-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,Security,High,,
COMP-2024-0147,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Non-Compliant,Gap,Finance,Critical,2025-01-29,Patch evidence incomplete for several servers.
COMP-2024-0148,2024-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,IT,Medium,,
COMP-2024-0149,2025-06-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Operations,Medium,,
COMP-2024-0150,2024-12-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,IT,Medium,,
COMP-2024-0151,2025-03-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Operations,Medium,,
COMP-2024-0152,2024-12-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,Medium,,
COMP-2024-0153,2024-12-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,HR,Low,,
COMP-2024-0154,2025-06-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Finance,Medium,,
COMP-2024-0155,2025-09-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,Medium,,
COMP-2024-0156,2025-06-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Operations,High,,
COMP-2024-0157,2024-12-15,PCI DSS,10.2,Implement audit trails,Non-Compliant,None,IT,Critical,2025-03-11,Third-party access controls not demonstrated.
COMP-2024-0158,2024-09-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,Critical,,
COMP-2024-0159,2024-03-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Finance,Medium,,
COMP-2024-0160,2024-03-15,NIST SP 800-53,CM-2,Baseline configuration,Non-Compliant,Weakness,HR,Medium,2024-04-20,Documentation missing for access reviews.
COMP-2024-0161,2024-12-15,NIST SP 800-53,AC-2,Account Management,In Remediation,Weakness,Operations,Low,2025-01-20,Logs not retained for required period.
COMP-2024-0162,2024-03-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,HR,Low,,
COMP-2024-0163,2024-06-15,NIST SP 800-53,AU-2,Audit events,Compliant,None,HR,High,,
COMP-2024-0164,2025-09-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,Security,High,,
COMP-2024-0165,2025-09-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,Medium,,
COMP-2024-0166,2025-09-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Security,Medium,,
COMP-2024-0167,2024-06-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Finance,Low,,
COMP-2024-0168,2025-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Security,Medium,,
COMP-2024-0169,2025-03-15,PCI DSS,1.1.1,Firewall configuration standards,Compliant,None,Finance,Low,,
COMP-2024-0170,2024-12-15,SOC 2 Type II,CC6.1,"Logical & physical access controls (identity, RBAC)",Compliant,None,HR,Critical,,
COMP-2024-0171,2024-09-15,ISO 27001,A.9.2,User access management,Compliant,None,Finance,High,,
COMP-2024-0172,2025-09-15,SOC 2 Type II,CC6.7,Secure movement/transmission of protected information,Compliant,None,IT,Medium,,
COMP-2024-0173,2025-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,HR,Low,,
COMP-2024-0174,2024-12-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Operations,Medium,,
COMP-2024-0175,2025-06-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,Operations,High,,
COMP-2024-0176,2025-03-15,ISO 27001,A.9.2,User access management,Non-Compliant,Gap,IT,Low,2025-05-21,Third-party access controls not demonstrated.
COMP-2024-0177,2024-06-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Other,High,,
COMP-2024-0178,2024-03-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Finance,Critical,,
COMP-2024-0179,2024-09-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,Other,Low,,
COMP-2024-0180,2025-03-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,IT,Low,,
COMP-2024-0181,2025-06-15,ISO 27001,A.12.4,Logging and monitoring,Compliant,None,Operations,High,,
COMP-2024-0182,2024-09-15,ISO 27001,A.12.4,Logging and monitoring,Non-Compliant,Gap,IT,Medium,2024-12-07,Encryption at rest not consistently applied.
COMP-2024-0183,2024-03-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,Finance,Medium,,
COMP-2024-0184,2025-03-15,NIST SP 800-53,CM-2,Baseline configuration,Compliant,None,Operations,Low,,
COMP-2024-0185,2025-06-15,PCI DSS,10.2,Implement audit trails,Compliant,None,Finance,High,,
COMP-2024-0186,2025-03-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,HR,High,,
COMP-2024-0187,2024-06-15,ISO 27001,A.12.1,Operational procedures and responsibilities,Compliant,None,HR,Medium,,
COMP-2024-0188,2024-03-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,Finance,High,,
COMP-2024-0189,2025-03-15,SOC 2 Type II,CC6.8,Malicious software controls,Non-Compliant,None,IT,Critical,2025-06-03,Logs not retained for required period.
COMP-2024-0190,2024-12-15,SOC 2 Type II,CC6.8,Malicious software controls,Compliant,None,Finance,High,,
COMP-2024-0191,2025-09-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,HR,Low,,
COMP-2024-0192,2024-12-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Non-Compliant,Gap,Finance,Medium,2025-02-11,Patch evidence incomplete for several servers.
COMP-2024-0193,2025-09-15,NIST SP 800-53,AC-2,Account Management,Compliant,None,Finance,High,,
COMP-2024-0194,2025-03-15,SOC 2 Type II,CC4.1,Monitoring controls,Compliant,None,HR,Medium,,
COMP-2024-0195,2025-03-15,ISO 27001,A.9.2,User access management,Compliant,None,IT,Medium,,
COMP-2024-0196,2024-06-15,PCI DSS,1.1.1,Firewall configuration standards,Compliant,None,Security,Medium,,
COMP-2024-0197,2025-06-15,PCI DSS,3.4,Render PAN unreadable (masking/encryption),Compliant,None,IT,Low,,
COMP-2024-0198,2024-12-15,SOC 2 Type II,CC6.8,Malicious software controls,Non-Compliant,None,HR,Critical,2025-02-09,Documentation missing for access reviews.
COMP-2024-0199,2025-09-15,ISO 27001,A.7.2,"Awareness, education and training",Compliant,None,IT,Critical,,
COMP-2024-0200,2024-09-15,NIST SP 800-53,SI-2,Flaw remediation / vulnerability response,Compliant,None,Finance,High,,
