Vulnerability_ID,Date_Discovered,System_ID,Vulnerability_Type,Severity,CVSS_Score,Status,Date_Closed,Days_To_Remediate,Remediation_Owner,Business_Impact,Exploit_Available
VUL-2024-0109,2024-11-26,SYS-017,SQL Injection,Medium,6.1,Closed,2024-12-14,18,Infrastructure Team,Medium,No
VUL-2024-0110,2024-02-11,SYS-022,Outdated Software,Low,1.8,Closed,2024-02-18,7,IT Operations,Low,No
VUL-2024-0111,2025-05-30,SYS-010,Outdated Software,Medium,4.8,Closed,2025-06-18,19,IT Operations,Medium,No
VUL-2024-0112,2025-05-31,SYS-001,Misconfiguration,High,8.3,Closed,2025-07-01,31,Security Team,Medium,No
VUL-2024-0113,2024-12-19,SYS-001,Cross-Site Scripting,Medium,6.0,Closed,2025-01-02,14,Development Team,Medium,No
VUL-2024-0114,2024-12-21,SYS-008,SQL Injection,Low,0.2,Closed,2024-12-28,7,Security Team,Low,No
VUL-2024-0115,2024-06-09,SYS-022,Cross-Site Scripting,Medium,6.9,In Progress,,,Security Team,Medium,Yes
VUL-2024-0116,2024-03-23,SYS-014,SQL Injection,Medium,6.4,Open,,,IT Operations,Medium,No
VUL-2024-0117,2024-03-23,SYS-028,Weak Authentication,Medium,4.5,Closed,2024-04-12,20,Security Team,Medium,No
VUL-2024-0118,2025-06-01,SYS-010,Misconfiguration,Medium,5.1,Closed,2025-06-15,14,Development Team,Medium,No
VUL-2024-0119,2025-05-16,SYS-017,Buffer Overflow,High,7.8,Closed,2025-06-08,23,Security Team,High,No
VUL-2024-0120,2025-02-05,SYS-026,Buffer Overflow,Medium,5.6,Closed,2025-02-25,20,Infrastructure Team,Medium,No
VUL-2024-0121,2024-01-04,SYS-017,Outdated Software,Medium,4.5,Open,,,Security Team,Low,No
VUL-2024-0122,2025-07-09,SYS-006,Misconfiguration,Critical,9.3,Closed,2025-08-05,27,IT Operations,High,No
VUL-2024-0123,2024-03-31,SYS-019,Cross-Site Scripting,High,8.3,Open,,,Development Team,High,Yes
VUL-2024-0124,2025-04-19,SYS-008,Cross-Site Scripting,Critical,9.8,Closed,2025-06-08,50,Security Team,High,No
VUL-2024-0125,2025-02-21,SYS-030,Misconfiguration,Medium,4.7,Closed,2025-03-05,12,IT Operations,Medium,No
VUL-2024-0126,2024-12-15,SYS-006,Misconfiguration,Low,0.6,In Progress,,,Infrastructure Team,Low,No
VUL-2024-0127,2024-12-18,SYS-003,Cross-Site Scripting,Medium,5.4,Closed,2024-12-28,10,Security Team,Medium,No
VUL-2024-0128,2025-08-14,SYS-008,Cross-Site Scripting,High,8.5,Closed,2025-09-06,23,Security Team,Medium,No
VUL-2024-0129,2025-08-16,SYS-001,Outdated Software,Low,2.0,Closed,2025-08-28,12,Security Team,Low,Yes
VUL-2024-0130,2025-02-27,SYS-021,Misconfiguration,Critical,9.3,In Progress,,,Security Team,High,Yes
VUL-2024-0131,2024-11-13,SYS-011,Outdated Software,Medium,4.1,Closed,2024-11-30,17,IT Operations,Medium,No
VUL-2024-0132,2025-06-09,SYS-025,Weak Authentication,High,8.3,Closed,2025-07-01,22,Security Team,High,No
VUL-2024-0133,2025-03-12,SYS-023,Cross-Site Scripting,Medium,5.7,Closed,2025-04-03,22,Security Team,Medium,No
VUL-2024-0134,2025-01-15,SYS-004,Misconfiguration,Medium,4.4,Closed,2025-02-06,22,Security Team,Medium,No
VUL-2024-0135,2025-03-17,SYS-025,Misconfiguration,Critical,9.5,Closed,2025-04-22,36,Development Team,High,No
VUL-2024-0136,2025-05-14,SYS-019,Buffer Overflow,Medium,6.5,Closed,2025-06-02,19,IT Operations,Low,No
VUL-2024-0137,2025-06-19,SYS-007,SQL Injection,Medium,5.7,Closed,2025-07-06,17,Development Team,Low,No
VUL-2024-0138,2025-06-08,SYS-001,Weak Authentication,High,7.2,Closed,2025-07-04,26,IT Operations,High,Yes
VUL-2024-0139,2025-02-20,SYS-028,Buffer Overflow,Medium,6.1,Closed,2025-03-02,10,IT Operations,Low,No
VUL-2024-0140,2024-12-31,SYS-005,Misconfiguration,Medium,5.0,In Progress,,,IT Operations,Medium,No
VUL-2024-0141,2025-03-08,SYS-029,Outdated Software,Medium,6.2,In Progress,,,Security Team,Medium,No
VUL-2024-0142,2025-06-09,SYS-009,Misconfiguration,Medium,6.0,In Progress,,,Development Team,Low,No
VUL-2024-0143,2024-09-10,SYS-030,SQL Injection,High,7.7,In Progress,,,Security Team,Medium,Yes
VUL-2024-0144,2025-03-09,SYS-004,Weak Authentication,High,8.4,Closed,2025-04-07,29,IT Operations,High,No
VUL-2024-0145,2024-01-14,SYS-010,Misconfiguration,High,7.2,Closed,2024-02-06,23,IT Operations,Medium,No
VUL-2024-0146,2025-10-29,SYS-015,Weak Authentication,Low,0.9,Closed,2025-11-04,6,IT Operations,Low,No
VUL-2024-0147,2024-02-19,SYS-008,Buffer Overflow,Medium,6.1,Open,,,IT Operations,Low,No
VUL-2024-0148,2024-01-27,SYS-012,Misconfiguration,High,7.4,Open,,,Security Team,High,No
VUL-2024-0149,2024-11-15,SYS-030,Misconfiguration,Medium,5.5,In Progress,,,Security Team,Low,No
VUL-2024-0150,2025-05-21,SYS-008,Cross-Site Scripting,High,7.0,Open,,,Security Team,Medium,No
VUL-2024-0151,2025-07-17,SYS-009,Outdated Software,Low,2.6,In Progress,,,Security Team,Low,No
VUL-2024-0152,2024-06-08,SYS-014,Outdated Software,Medium,6.8,Closed,2024-06-28,20,IT Operations,Medium,No
VUL-2024-0153,2024-05-22,SYS-003,Outdated Software,Low,0.7,Closed,2024-06-04,13,Development Team,Low,No
VUL-2024-0154,2024-11-04,SYS-020,Outdated Software,High,7.7,Closed,2024-11-20,16,Security Team,High,No
VUL-2024-0155,2025-03-14,SYS-022,Misconfiguration,Medium,6.2,Open,,,IT Operations,Medium,No
VUL-2024-0156,2025-02-17,SYS-022,SQL Injection,Medium,6.7,Closed,2025-02-27,10,IT Operations,Medium,No
VUL-2024-0157,2024-03-11,SYS-026,Outdated Software,Critical,9.1,In Progress,,,Security Team,High,No
VUL-2024-0158,2025-06-15,SYS-004,Outdated Software,Critical,9.5,Closed,2025-07-15,30,IT Operations,High,No
VUL-2024-0159,2024-01-09,SYS-025,Buffer Overflow,Low,0.9,Closed,2024-01-21,12,Security Team,Low,Yes
VUL-2024-0160,2025-10-30,SYS-026,Misconfiguration,Medium,4.1,Closed,2025-11-13,14,Security Team,Medium,No
VUL-2024-0161,2025-10-12,SYS-030,Outdated Software,Medium,5.3,Closed,2025-10-25,13,IT Operations,Medium,No
VUL-2024-0162,2025-04-12,SYS-003,Misconfiguration,Critical,9.4,Open,,,Development Team,High,No
VUL-2024-0163,2025-10-15,SYS-022,Misconfiguration,Medium,5.2,Open,,,IT Operations,Medium,No
VUL-2024-0164,2025-08-25,SYS-003,Weak Authentication,Medium,5.2,Closed,2025-09-06,12,Security Team,Medium,No
VUL-2024-0165,2025-05-28,SYS-001,Buffer Overflow,Medium,4.1,Closed,2025-06-09,12,Security Team,Low,Yes
VUL-2024-0166,2025-02-10,SYS-008,Buffer Overflow,Medium,5.7,Closed,2025-02-23,13,IT Operations,Medium,No
VUL-2024-0167,2024-03-22,SYS-017,Outdated Software,Medium,4.9,Closed,2024-04-04,13,IT Operations,Medium,No
VUL-2024-0168,2025-05-18,SYS-016,Outdated Software,Medium,6.7,Closed,2025-06-04,17,IT Operations,Medium,No
VUL-2024-0169,2024-10-06,SYS-023,Misconfiguration,High,7.5,Closed,2024-10-25,19,Development Team,Medium,No
VUL-2024-0170,2025-03-31,SYS-013,Misconfiguration,Medium,4.4,Closed,2025-04-13,13,Security Team,Medium,No
VUL-2024-0171,2024-12-18,SYS-023,Cross-Site Scripting,High,7.1,Open,,,Development Team,High,No
VUL-2024-0172,2025-05-18,SYS-007,Cross-Site Scripting,High,8.7,Closed,2025-06-03,16,Infrastructure Team,High,Yes
VUL-2024-0173,2025-05-24,SYS-030,Misconfiguration,High,8.7,Closed,2025-06-09,16,Security Team,High,Yes
VUL-2024-0174,2025-01-21,SYS-010,Outdated Software,Medium,5.0,Closed,2025-02-08,18,Development Team,Medium,No
VUL-2024-0175,2024-11-07,SYS-011,Outdated Software,High,7.1,Open,,,Security Team,Medium,No
VUL-2024-0176,2024-12-05,SYS-006,Cross-Site Scripting,Medium,5.1,Closed,2024-12-22,17,IT Operations,Medium,No
VUL-2024-0177,2025-06-24,SYS-021,Misconfiguration,High,7.9,Closed,2025-07-18,24,Development Team,High,No
VUL-2024-0178,2025-02-21,SYS-030,Misconfiguration,Medium,4.1,Open,,,Development Team,Medium,No
VUL-2024-0179,2024-05-23,SYS-004,Cross-Site Scripting,Medium,5.5,Closed,2024-06-10,18,IT Operations,Low,No
VUL-2024-0180,2025-04-01,SYS-001,Misconfiguration,Medium,5.2,Closed,2025-04-15,14,Security Team,Low,Yes
VUL-2024-0181,2025-06-22,SYS-013,Cross-Site Scripting,Medium,4.3,Closed,2025-07-05,13,Security Team,Medium,No
VUL-2024-0182,2024-11-26,SYS-012,Outdated Software,Medium,6.8,Closed,2024-12-15,19,Infrastructure Team,Medium,No
VUL-2024-0183,2025-07-21,SYS-030,Weak Authentication,Critical,9.8,Closed,2025-09-08,49,Security Team,High,No
VUL-2024-0184,2025-04-23,SYS-005,Misconfiguration,Critical,9.8,Open,,,Development Team,High,No
VUL-2024-0185,2024-05-29,SYS-026,Misconfiguration,Low,1.9,In Progress,,,Development Team,Low,No
VUL-2024-0186,2024-01-30,SYS-026,SQL Injection,Critical,10.0,Closed,2024-03-14,44,Development Team,High,No
VUL-2024-0187,2025-10-10,SYS-005,Cross-Site Scripting,Critical,9.6,Closed,2025-11-22,43,Development Team,High,No
VUL-2024-0188,2025-06-05,SYS-024,Weak Authentication,Medium,6.1,In Progress,,,Security Team,Medium,No
VUL-2024-0189,2024-11-25,SYS-019,Misconfiguration,Medium,5.2,Closed,2024-12-12,17,Security Team,Low,No
VUL-2024-0190,2024-11-13,SYS-013,Weak Authentication,High,8.1,Closed,2024-12-12,29,IT Operations,Medium,No
VUL-2024-0191,2024-02-05,SYS-011,Weak Authentication,High,7.3,Closed,2024-03-06,30,Security Team,High,No
VUL-2024-0192,2024-11-09,SYS-003,SQL Injection,High,7.4,Closed,2024-11-30,21,IT Operations,High,Yes
VUL-2024-0193,2025-03-20,SYS-019,Outdated Software,High,8.6,Closed,2025-04-13,24,Security Team,High,No
VUL-2024-0194,2025-09-08,SYS-019,Cross-Site Scripting,Medium,6.0,Closed,2025-09-23,15,Security Team,Medium,Yes
VUL-2024-0195,2025-01-14,SYS-009,SQL Injection,Medium,5.0,In Progress,,,IT Operations,Medium,No
VUL-2024-0196,2024-10-31,SYS-012,Weak Authentication,Medium,5.1,Closed,2024-11-19,19,IT Operations,Low,No
VUL-2024-0197,2025-03-10,SYS-009,Weak Authentication,Medium,4.6,Closed,2025-03-26,16,Security Team,Medium,No
VUL-2024-0198,2025-04-19,SYS-024,Outdated Software,High,7.7,Closed,2025-05-09,20,Infrastructure Team,High,No
VUL-2024-0199,2024-03-25,SYS-018,Buffer Overflow,Critical,9.5,Closed,2024-05-12,48,Development Team,High,No
VUL-2024-0200,2024-01-28,SYS-024,Outdated Software,Low,2.7,Closed,2024-02-09,12,Security Team,Low,No
VUL-2024-0201,2025-05-26,SYS-011,Outdated Software,Medium,6.9,Closed,2025-06-18,23,IT Operations,Low,No
VUL-2024-0202,2024-12-02,SYS-024,Outdated Software,High,8.3,Closed,2024-12-24,22,Security Team,High,Yes
VUL-2024-0203,2025-04-19,SYS-030,Weak Authentication,Critical,9.6,In Progress,,,Security Team,High,Yes
VUL-2024-0204,2024-04-24,SYS-017,Misconfiguration,Low,2.7,Closed,2024-05-02,8,Security Team,Low,No
VUL-2024-0205,2025-03-17,SYS-004,SQL Injection,High,7.9,Closed,2025-04-11,25,Infrastructure Team,High,No
VUL-2024-0206,2024-03-10,SYS-010,Cross-Site Scripting,Critical,9.5,Closed,2024-04-26,47,IT Operations,High,No
VUL-2024-0207,2024-11-10,SYS-001,Buffer Overflow,High,7.2,Closed,2024-12-08,28,IT Operations,High,No
VUL-2024-0208,2024-05-06,SYS-018,Outdated Software,High,8.1,Closed,2024-05-28,22,IT Operations,High,No
VUL-2024-0209,2025-01-01,SYS-023,Cross-Site Scripting,Low,1.8,Closed,2025-01-12,11,Development Team,Low,No
VUL-2024-0210,2025-06-26,SYS-024,Misconfiguration,Medium,4.3,Closed,2025-07-08,12,Security Team,Medium,No
VUL-2024-0211,2025-08-17,SYS-030,Outdated Software,High,8.1,Closed,2025-08-30,13,Security Team,Medium,No
VUL-2024-0212,2025-06-23,SYS-024,Weak Authentication,Medium,5.7,Closed,2025-07-03,10,Security Team,Medium,No
VUL-2024-0213,2025-05-17,SYS-012,Misconfiguration,Medium,4.4,Closed,2025-05-31,14,IT Operations,Medium,No
VUL-2024-0214,2025-10-06,SYS-018,Misconfiguration,Critical,9.3,Closed,2025-11-16,41,IT Operations,High,Yes
VUL-2024-0215,2024-11-01,SYS-015,Cross-Site Scripting,Low,3.2,Closed,2024-11-17,16,IT Operations,Low,No
VUL-2024-0216,2024-12-27,SYS-014,Cross-Site Scripting,High,7.2,Open,,,Security Team,High,No
VUL-2024-0217,2024-03-15,SYS-018,Buffer Overflow,Medium,6.2,Closed,2024-03-29,14,IT Operations,Medium,No
VUL-2024-0218,2025-10-18,SYS-025,SQL Injection,Critical,9.8,Closed,2025-11-25,38,Infrastructure Team,High,Yes
VUL-2024-0219,2025-07-25,SYS-008,SQL Injection,Medium,5.3,Open,,,IT Operations,Low,No
VUL-2024-0220,2024-05-26,SYS-023,Weak Authentication,High,7.7,Closed,2024-06-09,14,Security Team,High,Yes
VUL-2024-0221,2024-01-12,SYS-017,Misconfiguration,Low,2.1,In Progress,,,Security Team,Low,No
VUL-2024-0222,2025-08-29,SYS-022,SQL Injection,Critical,9.1,Open,,,Infrastructure Team,High,No
VUL-2024-0223,2024-02-28,SYS-004,Cross-Site Scripting,Critical,9.7,Closed,2024-03-29,30,Development Team,High,No
VUL-2024-0224,2024-03-21,SYS-008,Outdated Software,High,7.7,Closed,2024-04-06,16,Development Team,High,No
VUL-2024-0225,2024-08-30,SYS-026,Misconfiguration,High,8.8,Closed,2024-09-18,19,Development Team,Medium,Yes
VUL-2024-0226,2025-10-21,SYS-022,Outdated Software,Medium,6.5,Closed,2025-11-02,12,Infrastructure Team,Low,No
VUL-2024-0227,2024-11-10,SYS-010,Misconfiguration,High,7.2,Open,,,Security Team,High,No
VUL-2024-0228,2024-01-30,SYS-026,Outdated Software,Medium,5.3,Closed,2024-02-11,12,IT Operations,Medium,No
